AreaCode,AreaName,AreaType
S01008849,New Town West - 01,Data Zones
S01008850,New Town West - 02,Data Zones
S01008847,New Town East and Gayfield - 03,Data Zones
S01008848,New Town East and Gayfield - 04,Data Zones
S01008852,New Town West - 04,Data Zones
S01008853,Canonmills and New Town North - 01,Data Zones
S01008851,New Town West - 03,Data Zones
S01008842,Broughton South - 03,Data Zones
S01008843,Broughton South - 04,Data Zones
S01008840,Broughton South - 01,Data Zones
S01008841,Broughton South - 02,Data Zones
S01008845,New Town East and Gayfield - 01,Data Zones
S01008846,New Town East and Gayfield - 02,Data Zones
S01008844,Broughton South - 05,Data Zones
S01008681,"Canongate, Southside and Dumbiedykes - 02",Data Zones
S01008682,"Canongate, Southside and Dumbiedykes - 03",Data Zones
S01008679,"Old Town, Princes Street and Leith Street - 06",Data Zones
S01008680,"Canongate, Southside and Dumbiedykes - 01",Data Zones
S01008685,"Canongate, Southside and Dumbiedykes - 06",Data Zones
S01008686,Abbeyhill - 01,Data Zones
S01008683,"Canongate, Southside and Dumbiedykes - 04",Data Zones
S01008684,"Canongate, Southside and Dumbiedykes - 05",Data Zones
S01008674,"Old Town, Princes Street and Leith Street - 01",Data Zones
S01008675,"Old Town, Princes Street and Leith Street - 02",Data Zones
S01008672,Meadows and Southside - 07,Data Zones
S01008673,Meadows and Southside - 08,Data Zones
S01008677,"Old Town, Princes Street and Leith Street - 04",Data Zones
S01008678,"Old Town, Princes Street and Leith Street - 05",Data Zones
S01008676,"Old Town, Princes Street and Leith Street - 03",Data Zones
S01008696,Willowbrae and Duddingston Village - 03,Data Zones
S01008697,Willowbrae and Duddingston Village - 04,Data Zones
S01008694,Willowbrae and Duddingston Village - 01,Data Zones
S01008695,Willowbrae and Duddingston Village - 02,Data Zones
S01008700,Willowbrae and Duddingston Village - 07,Data Zones
S01008701,Craigmillar - 01,Data Zones
S01008698,Willowbrae and Duddingston Village - 05,Data Zones
S01008699,Willowbrae and Duddingston Village - 06,Data Zones
S01008689,Meadowbank and Abbeyhill North - 01,Data Zones
S01008690,Meadowbank and Abbeyhill North - 02,Data Zones
S01008687,Abbeyhill - 02,Data Zones
S01008688,Abbeyhill - 03,Data Zones
S01008692,Meadowbank and Abbeyhill North - 04,Data Zones
S01008693,Meadowbank and Abbeyhill North - 05,Data Zones
S01008691,Meadowbank and Abbeyhill North - 03,Data Zones
S01008652,Dalry and Fountainbridge - 02,Data Zones
S01008653,Dalry and Fountainbridge - 03,Data Zones
S01008650,Polwarth - 06,Data Zones
S01008651,Dalry and Fountainbridge - 01,Data Zones
S01008656,Dalry and Fountainbridge - 06,Data Zones
S01008657,Dalry and Fountainbridge - 07,Data Zones
S01008654,Dalry and Fountainbridge - 04,Data Zones
S01008655,Dalry and Fountainbridge - 05,Data Zones
S01008645,Polwarth - 01,Data Zones
S01008646,Polwarth - 02,Data Zones
S01008643,Bruntsfield - 06,Data Zones
S01008644,Bruntsfield - 07,Data Zones
S01008648,Polwarth - 04,Data Zones
S01008649,Polwarth - 05,Data Zones
S01008647,Polwarth - 03,Data Zones
